
running 1 test
buf_size,num_cores,percent_accessed,percent_writes,stm_ops_per_sec,swym_ops_per_sec,stm_ops,swym_ops
64,1,0.1,0.05,9224815.38069739,455029.0753296164
64,2,0.1,0.05,3854943.1290213475,737380.5980682955
64,4,0.1,0.05,2286342.1231258735,1159449.518408354
64,6,0.1,0.05,2256660.505990946,1569238.907566559
64,8,0.1,0.05,2137192.565231391,1865069.2263320324
64,10,0.1,0.05,2200202.013961895,1677359.9511178108
64,12,0.1,0.05,2045345.1186746676,1558204.0434711936
64,14,0.1,0.05,1821333.138744377,1293806.373693578
64,16,0.1,0.05,1526294.5841510314,1070374.8355467855
test linear1 ... test linear1 has been running for over 60 seconds
64,18,0.1,0.05,1477349.260935421,874255.9203335724
64,20,0.1,0.05,1445160.2372505395,728355.0812427305
64,22,0.1,0.05,1416874.0790424151,605815.3688319081
64,24,0.1,0.05,1386749.3749335192,515018.18776294054
64,26,0.1,0.05,1358425.874216858,447560.7486734283
64,28,0.1,0.05,1319610.471888355,415624.60478555737
64,30,0.1,0.05,1290545.3312070041,365135.74459141976
64,32,0.1,0.05,1279418.6492238368,314956.0162555803
64,34,0.1,0.05,1259405.6471913073,291264.78019157413
64,36,0.1,0.05,1224420.2720412815,267203.6076244857
128,1,0.1,0.05,5912381.97043809,189206.4722400801
128,2,0.1,0.05,2512329.2093917592,318857.90799741755
128,4,0.1,0.05,1791539.3424706862,481778.31114916864
128,6,0.1,0.05,1784705.591867288,658664.966510235
128,8,0.1,0.05,1713688.6085266478,623469.9322838192
128,10,0.1,0.05,1610641.8980427834,585775.7913609854
128,12,0.1,0.05,1489063.8777124279,489044.8205700337
128,14,0.1,0.05,1402816.8227401776,392732.42402168293
128,16,0.1,0.05,1341244.6445462909,335609.9496580709
128,18,0.1,0.05,1310744.5748072702,254688.64147924652
128,20,0.1,0.05,1282590.189880804,233413.77373014524
128,22,0.1,0.05,1257048.7501572159,204622.5306885295
128,24,0.1,0.05,1243582.734362496,178250.96792753562
128,26,0.1,0.05,1218233.154454774,163901.91050522216
128,28,0.1,0.05,1204763.3369174784,146031.945559552
128,30,0.1,0.05,1162825.9625469467,125798.95907632519
128,32,0.1,0.05,1161264.5109547502,119279.33668927135
128,34,0.1,0.05,1137307.1773244622,111884.83614305337
128,36,0.1,0.05,1123943.0626763047,102204.66445672231
256,1,0.1,0.05,3398814.045567077,62231.44595247169
256,2,0.1,0.05,1540387.206090892,102931.84663725182
256,4,0.1,0.05,1283323.2231616755,175166.45831004842
256,6,0.1,0.05,1179972.144913519,185514.607036091
256,8,0.1,0.05,1135098.5761934554,169145.8677485884
256,10,0.1,0.05,1082752.2704337118,142422.6356176459
256,12,0.1,0.05,1033522.9004648215,112871.42574858702
256,14,0.1,0.05,997783.1819277,89699.70128753952
256,16,0.1,0.05,961601.2523411534,75763.79847817334
256,18,0.1,0.05,953310.8642273995,62427.88019898194
256,20,0.1,0.05,944549.8575922761,54830.08134762045
256,22,0.1,0.05,933791.3060217168,49728.104929777146
256,24,0.1,0.05,910290.2325374086,45794.87892095328
256,26,0.1,0.05,899460.5843140257,40552.34742021609
256,28,0.1,0.05,897130.6844940158,37050.241095716316
256,30,0.1,0.05,880561.2423372612,34608.23656595637
256,32,0.1,0.05,888544.9923942693,31785.733961796246
256,34,0.1,0.05,880725.9085600213,29749.292475325194
256,36,0.1,0.05,870197.4941572535,28387.50917409159
Test complete. Took 350.132693427s ... test linear1 has been running for over 60 seconds
test linear1 ... ok

test result: ok. 1 pas
