
running 1 test
buf_size,num_cores,percent_accessed,percent_writes,stm_ops_per_sec,swym_o_ops_per_sec,stm_ops,swym_ops
64,1,0.1,0.05,9077332.333333334,235473.4253848968
64,2,0.1,0.05,3917894.6369417636,447783.9601948
64,4,0.1,0.05,2769743.7636485323,686191.7752039117
64,6,0.1,0.05,2266877.3775690645,810257.1354845911
64,8,0.1,0.05,2188264.6644044984,736598.9423659716
64,10,0.1,0.05,2049300.2635595768,545202.824893983
64,12,0.1,0.05,1987474.7119542616,415885.93377640814
64,14,0.1,0.05,1917033.795075329,366053.8496480314
64,16,0.1,0.05,1866805.3120760056,278953.34840923717
test linear1 ... test linear1 has been running for over 60 seconds
64,18,0.1,0.05,1788043.362089026,250718.52393021973
64,20,0.1,0.05,1743083.0856164175,228855.46796564033
64,22,0.1,0.05,1707231.0215403594,200561.43604435786
64,24,0.1,0.05,1627335.097386962,177288.42967273347
64,26,0.1,0.05,1491384.7093569974,164953.91956143407
64,28,0.1,0.05,1420078.1822046472,145643.36653680462
64,30,0.1,0.05,1468719.5374360303,133723.76015278988
64,32,0.1,0.05,1468190.322832802,119884.02095299272
64,34,0.1,0.05,1443052.2425734878,114116.86049302113
64,36,0.1,0.05,1415115.7183880587,103496.04815505704
128,1,0.1,0.05,5794733.936257927,117251.6106203968
128,2,0.1,0.05,2543151.1529501337,171966.36755983136
128,4,0.1,0.05,1951756.5398525577,255180.07992310755
128,6,0.1,0.05,1826459.209761037,225080.4698595958
128,8,0.1,0.05,1743035.814735646,183929.9701125323
128,10,0.1,0.05,1674284.5470224302,145252.74289397433
128,12,0.1,0.05,1613320.5836110313,112396.74839475978
128,14,0.1,0.05,1507792.4854424621,101305.4371314481
128,16,0.1,0.05,1427702.6317058478,81816.00688740531
128,18,0.1,0.05,1530512.0709881096,69474.89764512707
128,20,0.1,0.05,1296216.1350745598,58835.960284182154
128,22,0.1,0.05,1264333.9076257173,51854.92002854713
128,24,0.1,0.05,1240242.587361978,49133.98973781275
128,26,0.1,0.05,1204200.6477233993,43205.67122883314
128,28,0.1,0.05,1195657.9279700043,39955.21564683781
128,30,0.1,0.05,1165051.7342232359,37208.967323957404
128,32,0.1,0.05,1146697.8608180494,35612.90665408275
128,34,0.1,0.05,1118726.3944307975,33716.436139143516
128,36,0.1,0.05,1108100.7209289463,32727.862330785843
256,1,0.1,0.05,3262800.136477725,38539.157594774704
256,2,0.1,0.05,1502052.729007452,59911.04667545495
256,4,0.1,0.05,1249528.31554921,62311.59288467508
256,6,0.1,0.05,1174182.0870121098,51083.82103101503
256,8,0.1,0.05,1151743.2413851183,40447.762116015205
256,10,0.1,0.05,1105455.4168421256,32981.246136269845
256,12,0.1,0.05,1039733.9612788993,26133.48564939729
256,14,0.1,0.05,1003638.5827773749,21077.795057000014
256,16,0.1,0.05,969441.5748363684,18040.91456197615
256,18,0.1,0.05,923456.2075013866,15990.785038811664
256,20,0.1,0.05,907318.7900526591,15171.578120107924
256,22,0.1,0.05,897377.7770062729,14226.618665367048
256,24,0.1,0.05,891954.4682967893,13729.560628929354
256,26,0.1,0.05,886553.4480745009,13055.079556768567
256,28,0.1,0.05,883472.1357159963,12746.573238797144
256,30,0.1,0.05,869550.8949380694,12646.641855436632
256,32,0.1,0.05,858863.8045219537,12521.741222280789
256,34,0.1,0.05,867696.2250995259,11863.279566894247
256,36,0.1,0.05,844937.1067440164,11862.094446973571
Test complete. Took 349.473553693s ... test linear1 has been running for over 60 seconds
test linear1 ... ok
